uri	predicate_id
http://dbpedia.org/ontology/wikiPageWikiLink	0
http://dbpedia.org/ontology/starring	1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2
http://purl.org/dc/terms/subject	3
http://dbpedia.org/property/wikiPageUsesTemplate	4
http://purl.org/linguistics/gold/hypernym	5
http://www.w3.org/2002/07/owl#sameAs	6
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	7
http://dbpedia.org/ontology/director	8
http://dbpedia.org/ontology/wikiPageExternalLink	9
http://dbpedia.org/property/starring	10
http://dbpedia.org/ontology/producer	11
http://dbpedia.org/ontology/distributor	12
http://dbpedia.org/ontology/writer	13
http://xmlns.com/foaf/0.1/depiction	14
http://dbpedia.org/property/director	15
http://dbpedia.org/property/prevTitle	16
http://dbpedia.org/property/distributor	17
http://dbpedia.org/property/wordnet_type	18
http://dbpedia.org/ontology/musicComposer	19
http://dbpedia.org/ontology/editing	20
http://dbpedia.org/property/title	21
http://dbpedia.org/property/writer	22
http://dbpedia.org/ontology/productionCompany	23
http://dbpedia.org/property/music	24
http://dbpedia.org/property/screenplay	25
http://dbpedia.org/ontology/cinematography	26
http://dbpedia.org/ontology/thumbnail	27
http://dbpedia.org/property/extra	28
http://dbpedia.org/property/producer	29
http://dbpedia.org/property/cinematography	30
http://www.w3.org/ns/prov#wasDerivedFrom	31
http://dbpedia.org/property/editing	32
http://dbpedia.org/property/artist	33
http://dbpedia.org/ontology/language	34
http://dbpedia.org/property/genre	35
http://dbpedia.org/property/productionCompanies	36
http://dbpedia.org/property/language	37
http://dbpedia.org/ontology/country	38
http://dbpedia.org/property/story	39
http://dbpedia.org/property/label	40
http://dbpedia.org/property/rev	41
http://xmlns.com/foaf/0.1/homepage	42
http://www.w3.org/2002/07/owl#differentFrom	43
http://www.w3.org/2000/01/rdf-schema#seeAlso	44
http://dbpedia.org/property/nextTitle	45
http://dbpedia.org/property/studio	46
http://dbpedia.org/property/country	47
http://dbpedia.org/property/narrator	48
http://dbpedia.org/ontology/narrator	49
http://dbpedia.org/ontology/wikiPageDisambiguates	50
