uri	predicate_id
http://dbpedia.org/ontology/wikiPageWikiLink	0
http://purl.org/dc/terms/subject	1
http://dbpedia.org/property/wikiPageUsesTemplate	2
http://www.w3.org/2002/07/owl#sameAs	3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	4
http://dbpedia.org/ontology/producer	5
http://purl.org/linguistics/gold/hypernym	6
http://dbpedia.org/property/source	7
http://dbpedia.org/property/cinematography	8
http://dbpedia.org/ontology/starring	9
http://dbpedia.org/property/studio	10
http://dbpedia.org/property/music	11
http://dbpedia.org/property/screenplay	12
http://dbpedia.org/ontology/director	13
http://dbpedia.org/ontology/distributor	14
http://dbpedia.org/property/extra	15
http://dbpedia.org/ontology/writer	16
http://dbpedia.org/property/producer	17
http://dbpedia.org/property/nextTitle	18
http://dbpedia.org/property/distributor	19
http://dbpedia.org/ontology/wikiPageExternalLink	20
http://dbpedia.org/ontology/editing	21
http://dbpedia.org/property/wordnet_type	22
http://dbpedia.org/ontology/country	23
http://dbpedia.org/ontology/cinematography	24
http://dbpedia.org/property/starring	25
http://dbpedia.org/property/director	26
http://dbpedia.org/property/editing	27
http://dbpedia.org/property/writer	28
http://dbpedia.org/ontology/musicComposer	29
http://dbpedia.org/property/label	30
http://dbpedia.org/ontology/productionCompany	31
http://dbpedia.org/property/rev	32
http://dbpedia.org/property/artist	33
http://dbpedia.org/property/genre	34
http://dbpedia.org/property/chronology	35
http://dbpedia.org/property/productionCompanies	36
http://dbpedia.org/property/title	37
http://dbpedia.org/property/country	38
http://dbpedia.org/property/type	39
http://www.w3.org/2000/01/rdf-schema#seeAlso	40
http://dbpedia.org/property/prevTitle	41
http://dbpedia.org/property/language	42
http://xmlns.com/foaf/0.1/depiction	43
http://dbpedia.org/property/writers	44
http://dbpedia.org/ontology/language	45
http://www.w3.org/2002/07/owl#differentFrom	46
http://dbpedia.org/property/story	47
http://dbpedia.org/property/colorProcess	48
http://dbpedia.org/ontology/narrator	49
http://dbpedia.org/property/allWriting	50
http://dbpedia.org/property/basedOn	51
http://dbpedia.org/property/note	52
http://dbpedia.org/property/caption	53
http://dbpedia.org/property/allMusic	54
http://dbpedia.org/property/producers	55
http://dbpedia.org/property/format	56
http://dbpedia.org/property/narrator	57
http://dbpedia.org/property/owner	58
http://dbpedia.org/property/creator	59
http://dbpedia.org/property/recorded	60
http://dbpedia.org/property/filetype	61
http://dbpedia.org/property/allLyrics	62
http://dbpedia.org/property/executiveProducer	63
http://dbpedia.org/property/audioFormat	64
http://dbpedia.org/property/network	65
